euid,leid,member_rating,optin_time,confirm_time,country_code,region,last_changed,notes,date_added
1bb6cea4f4,308424855,2,2019-09-30,2019-09-30,id,jk,2019-10-21,NA,2020-03-02
1bb6e6a709,71649703,2,2019-05-29,2019-05-29,NA,NA,2019-10-21,NA,2020-03-02
1bb7d80950,68875803,2,2019-05-31,2019-05-31,co,dc,2020-01-22,NA,2020-03-02
1bb7eedc5d,308674875,2,2019-10-07,2019-10-07,us,mo,2020-02-20,NA,2020-03-02
1bbb086701,114122583,2,2019-07-17,2019-07-17,in,ka,2020-01-09,NA,2020-03-02
1bbcfdaa05,112131727,2,2019-07-16,2019-07-16,us,fl,2019-10-21,NA,2020-03-02
1bc76c4a8d,108760271,2,2019-07-14,2019-07-14,il,ta,2019-10-21,NA,2020-03-02
1bcadabffd,68406455,2,2019-03-06,2019-03-06,us,il,2020-01-09,NA,2020-03-02
1bcb32c550,310469283,2,2019-12-03,2019-12-03,us,ma,2019-12-03,NA,2020-03-02
1bceebd2e9,70779967,2,2018-07-19,2019-05-06,in,tg,2020-01-09,NA,2020-03-02
1bd20d3504,95974663,2,2019-07-02,2019-07-02,in,gj,2020-01-09,NA,2020-03-02
1bd264ddab,309086883,2,2019-10-25,2019-10-25,ar,b,2020-01-09,NA,2020-03-02
1bd47abb6d,312023740,2,2020-02-17,2020-02-17,us,nj,2020-02-17,NA,2020-03-02
1bd6f41390,70781071,2,2018-07-13,2019-05-06,uk,sol,2020-01-09,NA,2020-03-02
1bda933f1b,65669767,2,2019-01-07,2019-01-07,us,pa,2019-10-21,NA,2020-03-02
1bddea7e51,308341891,2,2019-09-25,2019-09-25,NA,NA,2020-01-09,NA,2020-03-02
1bddee2034,311186931,2,2019-12-22,2019-12-22,in,up,2019-12-22,NA,2020-03-02
1bde29e4d0,287992027,2,2019-08-26,2019-08-26,NA,NA,2019-10-21,NA,2020-03-02
1bf086b243,95974423,2,2019-07-02,2019-07-02,us,tx,2020-01-09,NA,2020-03-02
1bf099b320,66629655,2,2019-01-21,2019-01-21,es,b,2020-01-09,NA,2020-03-02
1bf1900e76,68149699,2,2019-02-27,2019-02-27,uk,slg,2020-01-09,NA,2020-03-02
1bf364d5fe,65607975,2,2019-01-04,2019-01-04,us,nc,2019-10-21,NA,2020-03-02
1bf3f1e576,103944911,2,2019-07-10,2019-07-10,NA,NA,2020-01-09,NA,2020-03-02
1bf5734ddd,308818047,2,2019-10-13,2019-10-13,NA,NA,2019-10-21,NA,2020-03-02
1bf5c6f9e6,63054175,2,2018-11-19,2018-11-19,NA,NA,2019-10-21,NA,2020-03-02
1bf642c12a,70783327,2,2018-07-03,2019-05-06,au,nsw,2020-01-09,NA,2020-03-02
1bfbf109a9,309170719,2,2019-10-30,2019-10-30,us,tn,2019-10-30,NA,2020-03-02
1bffc5df12,64388551,2,2018-12-10,2018-12-10,nl,nh,2019-10-21,NA,2020-03-02
1c01e9bd93,69237867,5,2019-03-25,2019-03-25,us,tn,2020-01-22,NA,2020-03-02
1c01fd79fe,63058499,2,2018-11-19,2018-11-19,ua,30,2020-01-09,NA,2020-03-02
1c041c1a93,309170875,2,2019-10-30,2019-10-30,br,rj,2020-01-09,NA,2020-03-02
1c0503c731,94813971,2,2019-06-16,2019-06-16,us,il,2020-01-09,NA,2020-03-02
1c0591dbb1,66214199,2,2019-01-14,2019-01-14,dz,16,2020-01-09,NA,2020-03-02
1c06ebc745,205614683,2,2019-08-13,2019-08-13,NA,NA,2020-01-09,NA,2020-03-02
1c070849b9,69910683,2,2019-04-14,2019-04-14,be,bru,2019-10-21,NA,2020-03-02
1c074cb7e0,311870283,4,2020-02-06,2020-02-06,in,dl,2020-02-06,NA,2020-03-02
1c096860aa,63056735,2,2018-11-19,2018-11-19,tr,34,2020-01-09,NA,2020-03-02
1c0b3d2830,70879771,2,2019-05-08,2019-05-08,NA,NA,2020-01-09,NA,2020-03-02
1c0c02e9af,70775911,2,2019-03-24,2019-05-06,in,mh,2020-01-09,NA,2020-03-02
1c1045de30,215303831,2,2019-08-15,2019-08-15,us,fl,2020-01-09,NA,2020-03-02
1c11cc2b50,62997383,5,2019-06-05,2019-06-05,ca,nb,2020-01-22,NA,2020-03-02
1c13c321cc,138741643,2,2019-07-28,2019-07-28,NA,NA,2019-10-21,NA,2020-03-02
1c13e189a1,311096831,2,2019-12-18,2019-12-18,us,wi,2020-01-09,NA,2020-03-02
1c147ca0be,63054911,2,2018-11-19,2018-11-19,in,kl,2019-10-21,NA,2020-03-02
1c14b01e36,70778259,2,2018-10-23,2019-05-06,ie,d,2020-01-09,NA,2020-03-02
1c18555c0d,309149367,2,2019-10-29,2019-10-29,NA,NA,2020-01-09,NA,2020-03-02
1c1be9c9f1,311474719,2,2020-01-15,2020-01-15,NA,NA,2020-01-15,NA,2020-03-02
1c1c0d71a4,63058231,2,2018-11-19,2018-11-19,be,bru,2020-01-09,NA,2020-03-02
1c1e9c8e03,309592287,2,2019-11-12,2019-11-12,uk,wnm,2020-02-20,NA,2020-03-02
1c22a4d02f,70780203,2,2018-07-18,2019-05-06,in,ka,2020-01-09,NA,2020-03-02
1c23e5de6b,310827051,2,2019-12-10,2019-12-10,uk,twh,2019-12-10,NA,2020-03-02
1c25f4db83,67208915,2,2019-02-06,2019-02-06,us,ks,2020-01-09,NA,2020-03-02
1c2702fc57,307991963,2,2019-09-08,2019-09-08,us,tx,2020-01-09,NA,2020-03-02
1c2843368f,316688324,2,2020-02-27,2020-02-27,NA,NA,2020-02-27,NA,2020-03-02
1c2b2782ad,69880087,2,2019-04-12,2019-04-12,NA,NA,2020-01-09,NA,2020-03-02
1c2bbf806b,311314051,2,2020-01-02,2020-01-02,NA,NA,2020-01-02,NA,2020-03-02
1c2d27a36d,312024388,2,2020-02-17,2020-02-17,NA,NA,2020-02-17,NA,2020-03-02
1c2fe9e3db,62997179,2,2018-11-19,2018-11-19,NA,NA,2019-10-21,NA,2020-03-02
1c333b1500,70779547,2,2018-07-22,2019-05-06,in,tg,2020-01-09,NA,2020-03-02
1c33e2f44f,312025064,2,2020-02-17,2020-02-17,NA,NA,2020-02-17,NA,2020-03-02
1c35031284,68149455,2,2019-02-27,2019-02-27,NA,NA,2020-01-09,NA,2020-03-02
1c3979936e,207302295,2,2019-08-14,2019-08-14,NA,NA,2019-10-21,NA,2020-03-02
1c39c51c4b,215303951,2,2019-08-15,2019-08-15,us,ca,2020-01-09,NA,2020-03-02
1c3a2a72b8,63000527,3,2018-11-19,2018-11-19,us,co,2020-01-09,NA,2020-03-02
